"ID","REF","Subject","Illustrator","Copyright","FileName","Note"
"bk00004","JHN 10.1-18, GEN 4.2, 1SA 16.11, PSA 23, PSA 79.13","Shepherd leading sheep","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00004.png",
"bk00005","MAT 18.12-14, LUK 15.3-7","Shepard finding lost sheep","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00005.png",
"bk00007","JHN 10.1-18, PSA 23, PSA 79.13","Shepherd carrying lamb  sheep following","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00007.png",
"bk00008","GEN 22.13","Ram in thicket ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00008.png",
"bk00010","PSA 23, EZK 34","Shepard protecting sheep from wolves with rod ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00010.png",
"bk00016","GEN 27, EXO 12.1-11, LEV 16","Ram,ewe,kids,goats","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00016.png",
"bk00023","EXO 8.1-15, PSA 105.30","Frogs by stream","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00023.png",
"bk00026","JOB 40.15","Hippopotamus ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00026.png",
"bk00043","MAT 15.27, LUK 16.21","Dogs","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00043.png",
"bk00045","JHN10.12, GEN 49.27, ISA 11.6, ISA 65.25, MAT 7.15, MAT 10.16, LUK 10.3, ACT 20.29","Wolves","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00045.png",
"bk00049","JER 13.23, HOS 13.7","Leopard","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00049.png",
"bk00050","JDG 15.4, MAT 8.20, LUK 9.58","Fox","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00050.png",
"bk00051","JDG 15.4, MAT 8.20, LUK 9.58","Fox over hole with kits","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00051.png",
"bk00053","LEV 11.30","Lizard on rock","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00053.png",
"bk00056","LEV 11.30","Chameleon and lizards ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00056.png",
"bk00058","DEU 8.15, EZK 2.6, LUK 10.19","Scorpion","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00058.png",
