"MapPointData","Value","Notes"
"Title_Main","The Holy Land in the Time of Jesus Christ",
"City_Sidon","Sidon",
"City_Tyre","Tyre",
"City_Damascus","Damascus",
"City_CaesareaPhilippi","Caesarea Philippi",
"City_Chorazin","Chorazin",
"City_Capernaum","Capernaum",
"City_Bethsaida","Bethsaida",
"City_Cana","Cana",
"City_Magadan","Magadan",
"City_Tiberias","Tiberias",
"City_Gadara","Gadara",
"City_Nazareth","Nazareth",
"City_Nain","Nain",
"City_Caesarea","Caesarea",
"City_Shechem","Shechem",
"City_Sychar","Sychar",
"City_Joppa","Joppa",
"City_Arimathea","Arimathea",
"City_Emmaus","Emmaus",
"City_Jericho","Jericho",
"City_Jerusalem","Jerusalem",
"City_Bethphage","Bathphage",
"City_Bethany","Bethany",
"City_Bethlehem","Bethlehem",
"City_Gaza","Gaza",
"Place_JacobsWell","Jacob’s Well"
"Region_Phoenicia","PHOENICIA",
"Region_Syria","SYRIA",
"Region_Galilee","GALILEE",
"Region_Decapolis","DECAPOLIS",
"Region_Samaria","SAMARIA",
"Region_Judea","JUDEA",
"Lake_SeaOfGalilee","Sea of Galilee",
"River_JordanRiver","Jordan River",
"Sea_DeadSea","Dead Sea",
"Sea_MediterraneanSea","Mediterranean Sea",
"Scale_K_Number_A","0",
"Scale_K_Number_B","20",
"Scale_K_Number_C","40",
"Scale_K_Number_D","60",
"Scale_K_DistanceKey","Kilometers",
"Scale_M_Number_A","0",
"Scale_M_Number_B","10",
"Scale_M_Number_C","20",
"Scale_M_Number_D","30",
"Scale_M_DistanceKey","Miles",
