"MapPointData","Value","Note"
"Title_Main","Paul’s Missionary Journeys",
"City_Rome","Rome",
"City_Philipi","Philipi",
"City_Neapolis","Neapolis",
"City_Puteoli","Puteoli",
"City_Thessalonica","Thessalonica",
"City_Amphipolis","Amphipolis",
"City_Berea","Berea",
"City_Apollonia","Apollonia",
"City_Troas","Troas",
"City_Assos","Assos",
"City_Nicopolis","Nicopolis",
"City_Mytelene","Mytelene",
"City_Pergamum","Pergamum",
"City_Thyatira","Thyatira",
"City_Antioch-A","Antioch",
"City_Antioch-B","Antioch",
"City_Smyrna","Smyrna",
"City_Sardis","Sardis",
"City_Philadelphia","Philadelphia",
"City_Iconium","Iconium",
"City_Rhegium","Rhegium",
"City_Corinth","Corinth",
"City_Athens","Athens",
"City_Ephesus","Ephesus",
"City_Laodicea","Laodicea",
"City_Colossae","Colossae",
"City_Lystra","Lystra",
"City_Derbe","Derbe",
"City_Miletus","Miletus",
"City_Attalia","Attalia",
"City_Perga","Perga",
"City_Tarsus","Tarsus",
"City_Seleucia","Seleucia",
"City_Syracuse","Syracuse",
"City_Cnidus","Cnidus",
"City_Patara","Patara",
"City_Myra","Myra",
"City_Phoenix","Phoenix",
"City_FairHavens","Fair Havens","A harbor on the island of Crete (Acts 27:8)"
"City_Lasea","Lasea",
"City_Salmone","Salmone",
"City_Sidon","Sidon",
"City_Tyre","Tyre",
"City_Damascus","Damascus",
"City_Ptolemais","Ptolemais",
"City_Caesarea","Caesarea",
"City_Joppa","Joppa",
"City_Gaza","Gaza",
"City_Jerusalem","Jerusalem",
"City_Alexandria","Alexandria",
"City_Paphos","Paphos",
"City_Salamis","Salamis",
"Region_Dalmatia","DALMATIA",
"Region_Illyricum","ILLYRICUM",
"Region_Thrace","THRACE",
"Region_Italy","ITALY",
"Region_Macedonia","MACEDONIA",
"Region_Bithynia","BITHYNIA",
"Region_Pontus","PONTUS",
"Region_Galatia","GALATIA",
"Region_Armenia","ARMENIA",
"Region_Asia","ASIA",
"Region_Cappadocia","CAPPADOCIA",
"Region_Sicily","SICILY",
"Region_Achaia","ACHAIA",
"Region_Lycia","LYCIA",
"Region_Pisidia","PISIDIA",
"Region_Pamphylia","PAMPHYLIA",
"Region_Cilicia","CILICIA",
"Region_Syria","SYRIA",
"Region_Egypt","EGYPT",
"Region_Arabia","ARABIA",
"Island_Chios","Chios",
"Island_Clauda","Clauda","An island near Crete (Acts 27:16)"
"Island_Crete","Crete",
"Island_Cyprus","Cyprus",
"Island_Malta","Malta","Paul was ship is wrecked on Malta (Acts 27:14-44)"
"Island_Patmos","Patmos",
"Island_Rhodes","Rhodes",
"Sea_BlackSea","BLACK SEA",
"Sea_Mediterranean","MEDITERRANEAN SEA",
"Scale_K_Number_A",0,
"Scale_K_Number_B",100,
"Scale_K_Number_C",200,
"Scale_K_Number_D",300,
"Scale_K_Number_E",400,
"Scale_K_DistanceKey","Kilometers",
"Scale_M_Number_A",0,
"Scale_M_Number_B",50,
"Scale_M_Number_C",100,
"Scale_M_Number_D",150,
"Scale_M_Number_E",200,
"Scale_M_DistanceKey","Miles",
"Key_A","1. Paul’s First Journey (Acts 13:4-14:28)",
"Key_B","2. Paul’s Second Journey (Acts 15:36-18:22)",
"Key_C","3. Paul’s Third Journey (Acts18:23-21:16)",
"Key_D","4. Paul’s Journey to Rome (Acts 21:17-28:31)",
